line_number,record_type,address_line1,company_name,date,fax,first_name,initials,last_name,phone,record_type,status
1255,0,C901,57,02        EA,TIME TOOLING CHARGE,TOOLIN,TIME,G CHARG,TIME TOOLING CHARGE,0,ONE
1256,unknown,,,,AINER,,INER,,AINER,,RETA
1257,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1272,unknown,TOTAL    1862.85,,,,,,,,,
1273,1,,,,,,,,,1,
1274,1,1,,,,,,,,1,
1275,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1276,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1277,unknown,13302-000      002   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1278,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1279,-,,,,,,,,,-,
1280,unknown,,PARKER HANNIFIN CORPORATION,MERIDEN MF,,,,,,,G INC
1281,unknown,,O-SEAL DIVISION,230 STATE,T EXT,,EXT,,T EXT,,STREET
1282,unknown,,7664 PANASONIC WAY,P O BOX 69,,,,,,,4
1283,unknown,,"SAN DIEGO, CA 92154","MERIDEN, C",502850,,02850,,502850,,T 0645
1285,unknown,,,,203-237-74,203-2,,37-74,203-237-74,,
1286,0,,,,,,,,,0,
1287,unknown,X     X,ST WAY,056254910  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1288,-,,          ,02/17/12,PH   PAUL HOLLMA  ,PAUL H,PH,OLLMA,PH   PAUL HOLLMA  ,-,I
1289,0,,,,,,,,,0,
1291,0,"C910012     16.4400    1,644.00",05/28/12           07,01  100.0 EA,50-2,,0-2,,50-2,0,3195
1292,unknown,,,,HER,,ER,,HER,,WASH
1293,MA,,,TERIAL CERTS,IRED,,RED,,IRED,MA,REQUI
1294,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1295,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1296,unknown,,,***,REV A      SQR,S,EV A,QR,REV A      SQR,,DWG R
1313,unknown,TOTAL    1644.00,,,,,,,,,
1314,1,,,,,,,,,1,
1315,1,1,,,,,,,,1,
1316,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1317,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1318,unknown,13825-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1319,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1320,-,,,,,,,,,-,
1321,unknown,,PARKER HANNIFIN CORPORATION,PARKER HAN,APNV,,APNV,,APNV,,NIFIN
1322,unknown,,O-SEAL DIVISION,INDUSTRIET,N KREKELENBERG,ELENBE,KREK,RG,N KREKELENBERG,,ERREIN
1323,unknown,,7664 PANASONIC WAY,RUPELWEG 9,50,,0,,50,,B-285
1324,unknown,,"SAN DIEGO, CA 92154","BOOM, BELG",B2850,,B2850,,B2850,,"IUM,"
1326,unknown,,,,0113238808,01132,,38808,0113238808,,
1327,0,,,,,,,,,0,
1328,unknown,X     X,ST WAY,990820481  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1329,-,,          ,04/10/12,PH   PAUL HOLLMA  ,PAUL H,PH,OLLMA,PH   PAUL HOLLMA  ,-,I
1330,0,,,,,,,,,0,
1332,0,"C910011      4.0460    2,063.46",05/28/12           1A,01  510.0 EA,-000299-03-05-1,9-03-0,00029,5-1,-000299-03-05-1,0,EAA-
1333,unknown,,,,RSEAL,,SEAL,,RSEAL,,ENER
1334,EA,,,STERN INDUST,AUTOMATION,TION,UTOMA,,AUTOMATION,EA,RIAL A
1335,S/,,,O# 174590,,,,,,S/,
1336,EU,,,RO 2.89,,,,,,EU,
1337,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1354,unknown,TOTAL    2063.46,,,,,,,,,
1355,1,,,,,,,,,1,
1356,1,1,,,,,,,,1,
1357,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1358,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1359,unknown,13896-000      002   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1360,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1361,-,,,,,,,,,-,
1362,unknown,,PARKER HANNIFIN CORPORATION,PARKER HAN,APNV,,APNV,,APNV,,NIFIN
1363,unknown,,O-SEAL DIVISION,INDUSTRIET,N KREKELENBERG,ELENBE,KREK,RG,N KREKELENBERG,,ERREIN
1364,unknown,,7664 PANASONIC WAY,RUPELWEG 9,50,,0,,50,,B-285
1365,unknown,,"SAN DIEGO, CA 92154","BOOM, BELG",B2850,,B2850,,B2850,,"IUM,"
1367,unknown,,,,0113238808,01132,,38808,0113238808,,
1368,0,,,,,,,,,0,
1369,unknown,X     X,ST WAY,990820481  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1370,-,,          ,04/13/12,JM   GARY MCKENN  ,GARY M,JM,CKENN,JM   GARY MCKENN  ,-,I
1371,0,,,,,,,,,0,
1373,0,C910011      3.7900      394.16,05/28/12           1A,01  104.0 EA,665,,65,,665,0,2406
1374,unknown,3.7900      379.00,06/08/12,100.0,RSEAL,,SEAL,,RSEAL,,ENER
1375,unknown,3.7900      379.00,07/13/12,100.0,RSEAL,,SEAL,,RSEAL,,ENER
1376,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1395,unknown,TOTAL    1152.16,,,,,,,,,
1396,1,,,,,,,,,1,
1397,1,1,,,,,,,,1,
1398,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1399,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1400,unknown,14061-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1401,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1402,-,,,,,,,,,-,
1403,unknown,,PARKER HANNIFIN CORPORATION,ADVANCED N,ING SOLUTIONS L,LUTION,NG SO,S L,ING SOLUTIONS L,,ITRIDI
1404,unknown,,O-SEAL DIVISION,1688 LAMME,KE,,E,,KE,,RS PIK
1405,unknown,,7664 PANASONIC WAY,,,,,,,,
1406,unknown,,"SAN DIEGO, CA 92154",BATESVILLE,470060,,70060,,470060,,", IN 4"
1408,unknown,,,,8129321010,81293,,21010,8129321010,,
1409,0,,,,,,,,,0,
1410,unknown,X     X,ST WAY,002023468  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1411,-,,          ,05/08/12,WO   WILLIE ORTI  ,WILLIE,WO,ORTI,WO   WILLIE ORTI  ,-,O
1412,0,,,,,,,,,0,
1414,0,C910011     66.6660      799.99,05/14/12 040 -64C9 08,01   12.0 EA,51,,1,,51,0,4055
1415,unknown,,P JSM,,E COLLAR SLOTTED COM,AR SLO,COLL,TTED CO,E COLLAR SLOTTED COM,,MALE
1416,S/,,"437, 456, 457.","N 429, 430,","433. 434, 435, 436,","34, 43",33. 4,"5, 436,","433. 434, 435, 436,",S/,"432, 4"
1417,46,,,"0, 461",,,,,,46,
1418,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1420,0,C910011,040 -64C9 08,02        EA,51,,1,,51,0,4055
1421,unknown,,P JSM,,E COLLAR SLOTTED COM,AR SLO,COLL,TTED CO,E COLLAR SLOTTED COM,,MALE
1422,S/,,,N 417,,,,,,S/,
1423,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1425,0,C910011     66.6660      999.99,05/14/12 040 -64C9 08,03   15.0 EA,51,,1,,51,0,4055
1426,unknown,,P JSM,,E COLLAR SLOTTED COM,AR SLO,COLL,TTED CO,E COLLAR SLOTTED COM,,MALE
1427,S/,,"446, 447,","N 428, 438,","440, 441, 442, 443,","41, 44","40, 4","2, 443,","440, 441, 442, 443,",S/,"439, 4"
1428,44,,,"9, 450, 451,","453, 459",459,"453,",,"453, 459",44,"452,"
1429,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1436,unknown,TOTAL    1799.98,,,,,,,,,
1437,1,,,,,,,,,1,
1438,1,1,,,,,,,,1,
1439,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1440,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1441,unknown,14106-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1442,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1443,-,,,,,,,,,-,
1444,unknown,,PARKER HANNIFIN CORPORATION,BODYCOTE T,L PROCESSING -,ESSING,PROC,-,L PROCESSING -,,HERMAL
1445,unknown,,O-SEAL DIVISION,45 CONNECT,AVE,,VE,,AVE,,ICUT A
1446,unknown,,7664 PANASONIC WAY,,,,,,,,
1447,unknown,,"SAN DIEGO, CA 92154",SOUTH WIND,CT 06074,74,T 060,,CT 06074,,"SOR, C"
1449,unknown,,,,860-282-13,860-2,,82-13,860-282-13,,
1450,0,,,,,,,,,0,
1451,unknown,X     X,ST WAY,013627319  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1452,-,,          ,05/10/12,WO   WILLIE ORTI  ,WILLIE,WO,ORTI,WO   WILLIE ORTI  ,-,O
1453,0,,,,,,,,,0,
1455,0,C910012     57.3070      744.99,05/16/12 061 -64C9 08,01   13.0 EA,32,,2,,32,0,3313
1456,unknown,,RESSURE,,AL V-RING EXTERNAL P,ING EX,L V-R,TERNAL,AL V-RING EXTERNAL P,,META
1457,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1458,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1459,unknown,,,***,REV B      SQR,S,EV B,QR,REV B      SQR,,DWG R
1477,unknown,TOTAL     744.99,,,,,,,,,
1478,1,,,,,,,,,1,
1479,1,1,,,,,,,,1,
1480,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1481,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1482,unknown,14111-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1483,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1484,-,,,,,,,,,-,
1485,unknown,,PARKER HANNIFIN CORPORATION,BODYCOTE T,L PROCESSING -,ESSING,PROC,-,L PROCESSING -,,HERMAL
1486,unknown,,O-SEAL DIVISION,45 CONNECT,AVE,,VE,,AVE,,ICUT A
1487,unknown,,7664 PANASONIC WAY,,,,,,,,
1488,unknown,,"SAN DIEGO, CA 92154",SOUTH WIND,CT 06074,74,T 060,,CT 06074,,"SOR, C"
1490,unknown,,,,860-282-13,860-2,,82-13,860-282-13,,
1491,0,,,,,,,,,0,
1492,unknown,X     X,ST WAY,013627319  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1493,-,,          ,05/11/12,JD   JOHN DEUGEN  ,JOHN D,JD,EUGEN,JD   JOHN DEUGEN  ,-,O
1494,0,,,,,,,,,0,
1496,0,C910012      4.9000       68.60,05/18/12 060 -64C9 08,01   14.0 EA,72,,2,,72,0,6977
1497,unknown,,RESSURE,,AL E-RING EXTERNAL P,ING EX,L E-R,TERNAL,AL E-RING EXTERNAL P,,META
1498,WA,,,SPALOY PER A,44,,4,,44,WA,MS 554
1499,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1500,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1501,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1503,0,C910012      4.9300      128.18,05/18/12 060 -64C9 08,02   26.0 EA,72,,2,,72,0,6977
1504,unknown,,RESSURE,,AL E-RING EXTERNAL P,ING EX,L E-R,TERNAL,AL E-RING EXTERNAL P,,META
1505,WA,,,SPOLY PER AM,4,,,,4,WA,S 5544
1506,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1507,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1508,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1510,0,"C910012      4.9800    1,180.26",05/18/12 070 -64C9 08,03  237.0 EA,343,,43,,343,0,6903
1511,unknown,,RESSURE,,AL E-RING INTERNAL P,ING IN,L E-R,TERNAL,AL E-RING INTERNAL P,,META
1512,WA,,,SPOLY PER AM,4,,,,4,WA,S 5544
1513,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1514,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1515,unknown,,,***,REV -1     SQR,S,EV -1,QR,REV -1     SQR,,DWG R
1518,unknown,TOTAL    1377.04,,,,,,,,,
1519,1,,,,,,,,,1,
1520,1,1,,,,,,,,1,
1521,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1522,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1523,unknown,14114-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1524,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1525,-,,,,,,,,,-,
1526,unknown,,PARKER HANNIFIN CORPORATION,ADVANCED N,ING SOLUTIONS L,LUTION,NG SO,S L,ING SOLUTIONS L,,ITRIDI
1527,unknown,,O-SEAL DIVISION,1688 LAMME,KE,,E,,KE,,RS PIK
1528,unknown,,7664 PANASONIC WAY,,,,,,,,
1529,unknown,,"SAN DIEGO, CA 92154",BATESVILLE,47006074,74,70060,,47006074,,", IN 4"
1531,unknown,,,,8129321010,81293,,21010,8129321010,,
1532,0,,,,,,,,,0,
1533,unknown,X     X,ST WAY,002023468  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1534,-,,          ,05/14/12,WO   WILLIE ORTI  ,WILLIE,WO,ORTI,WO   WILLIE ORTI  ,-,O
1535,0,,,,,,,,,0,
1537,0,C910011    125.0000      250.00,05/17/12 040 -64C9 08,01    2.0 EA,51,,1,,51,0,4055
1538,unknown,,P JSM,,E COLLAR SLOTTED COM,AR SLO,COLL,TTED CO,E COLLAR SLOTTED COM,,MALE
1539,S/,,,N 469-484,,,,,,S/,
1540,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1559,unknown,TOTAL     250.00,,,,,,,,,
1560,1,,,,,,,,,1,
1561,1,1,,,,,,,,1,
1562,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1563,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1564,unknown,14206-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1565,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1566,-,,,,,,,,,-,
1567,unknown,,PARKER HANNIFIN CORPORATION,GILBERT &,INC,,INC,,INC,,JONES
1568,unknown,,O-SEAL DIVISION,35 PETER C,,,,,,,OURT
1569,unknown,,7664 PANASONIC WAY,,,,,,,,
1570,unknown,,"SAN DIEGO, CA 92154",NEW BRITAI,0605174,74,06051,,0605174,,"N, CT"
1572,unknown,,,,8005772962,80057,,72962,8005772962,,
1573,0,,,,,,,,,0,
1574,unknown,X     X,S COLLECT,038654080  N,PROX NORTH HAVEN UP,NORTH,PROX,HAVEN U,PROX NORTH HAVEN UP,,ET 60
1575,-,,          ,05/22/12,PH   PAUL HOLLMA  ,PAUL H,PH,OLLMA,PH   PAUL HOLLMA  ,-,I
1576,0,,,,,,,,,0,
1578,0,"C910012     28.8500    7,948.18",05/25/12           07,01  275.5 EA,-COBALT ANODES,T ANOD,COBAL,ES,-COBALT ANODES,0,991-
1579,unknown,"28.8500    7,948.18",S                  07/05/12,275.5,SUMABLE COBALT ANODE,E COBA,UMABL,LT ANOD,SUMABLE COBALT ANODE,,CONS
1580,55,,VOICES,1 LBS TO BE,D ON TWO SEPERATE IN,WO SEP,ON T,ERATE I,D ON TWO SEPERATE IN,55,BILLED
1581,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
1600,unknown,TOTAL   15896.36,,,,,,,,,
1601,1,,,,,,,,,1,
1602,1,1,,,,,,,,1,
1603,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1604,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1605,unknown,14207-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1606,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1607,-,,,,,,,,,-,
1608,unknown,,PARKER HANNIFIN CORPORATION,COMPONENT,EER INC,C,ER IN,,EER INC,,ENGINE
1609,unknown,,O-SEAL DIVISION,108 NORTH,S IND RD,RD,IND,,S IND RD,,PLAINS
1610,unknown,,7664 PANASONIC WAY,,,,,,,,
1611,unknown,,"SAN DIEGO, CA 92154",WALLINGFOR,0649274,74,06492,,0649274,,"D, CT"
1613,unknown,,,,203-269-05,203-2,,69-05,203-269-05,,
1614,0,,,,,,,,,0,
1615,unknown,X     X,ST WAY,024200951  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1616,-,,          ,05/23/12,JD   JOHN DEUGEN  ,JOHN D,JD,EUGEN,JD   JOHN DEUGEN  ,-,O
1617,0,,,,,,,,,0,
1619,0,"C910012     40.0000    2,800.00",05/24/12 020 -64C9 08,01   70.0 EA,419,,19,,419,0,6904
1620,unknown,,RESSURE,,AL E-RING EXTERNAL P,ING EX,L E-R,TERNAL,AL E-RING EXTERNAL P,,META
1621,RU,,,N COMPLETE,,,,,,RU,
1622,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1623,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1624,69,,,0397-02 PRIN,,,,,,69,T
1625,unknown,,,***,REV -      SQR,S,EV -,QR,REV -      SQR,,DWG R
1627,0,"C911012  1,200.0000    1,200.00",05/25/12           54,02    1.0,EDITE CHARGE,CHARGE,DITE,,EDITE CHARGE,0,EXPE
1641,unknown,TOTAL    4000.00,,,,,,,,,
1642,1,,,,,,,,,1,
1643,1,1,,,,,,,,1,
1644,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1645,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1646,unknown,14208-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1647,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1648,-,,,,,,,,,-,
1649,unknown,,PARKER HANNIFIN CORPORATION,COMPONENT,EER INC,C,ER IN,,EER INC,,ENGINE
1650,unknown,,O-SEAL DIVISION,108 NORTH,S IND RD,RD,IND,,S IND RD,,PLAINS
1651,unknown,,7664 PANASONIC WAY,,,,,,,,
1652,unknown,,"SAN DIEGO, CA 92154",WALLINGFOR,0649274,74,06492,,0649274,,"D, CT"
1654,unknown,,,,203-269-05,203-2,,69-05,203-269-05,,
1655,0,,,,,,,,,0,
1656,unknown,X     X,ST WAY,024200951  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1657,-,,          ,05/23/12,JD   JOHN DEUGEN  ,JOHN D,JD,EUGEN,JD   JOHN DEUGEN  ,-,O
1658,0,,,,,,,,,0,
1660,0,"C910012     40.0000    2,600.00",05/24/12 020 -64C9 08,01   65.0 EA,418,,18,,418,0,6904
1661,unknown,,RESSURE,,AL E-RING EXTERNAL P,ING EX,L E-R,TERNAL,AL E-RING EXTERNAL P,,META
1662,RU,,,N COMPLETE,,,,,,RU,
1663,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1664,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1665,PR,,,INT 690397-0,,,,,,PR,1
1666,unknown,,,***,REV -      SQR,S,EV -,QR,REV -      SQR,,DWG R
1668,0,"C911012  1,200.0000    1,200.00",05/25/12           54,02    1.0,EDITE CHARGE,CHARGE,DITE,,EDITE CHARGE,0,EXPE
1682,unknown,TOTAL    3800.00,,,,,,,,,
1683,1,,,,,,,,,1,
1684,1,1,,,,,,,,1,
1685,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1686,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1687,unknown,14209-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1688,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1689,-,,,,,,,,,-,
1690,unknown,,PARKER HANNIFIN CORPORATION,JOINING TE,OGIES  LLC,LLC,GIES,,OGIES  LLC,,CHNOLO
1691,unknown,,O-SEAL DIVISION,NEWGATE ON,,,,,,,E
1692,unknown,,7664 PANASONIC WAY,17 CONNECT,SOUTH DRIVE,DRIVE,OUTH,,SOUTH DRIVE,,ICUT S
1693,unknown,,"SAN DIEGO, CA 92154",EAST GRANB,0602674,74,06026,,0602674,,"Y, CT"
1695,unknown,,,,860-653-01,860-6,,53-01,860-653-01,,
1696,0,,,,,,,,,0,
1697,unknown,X     X,ST WAY,047782345  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1698,-,,          ,05/23/12,JD   JOHN DEUGEN  ,JOHN D,JD,EUGEN,JD   JOHN DEUGEN  ,-,O
1699,0,,,,,,,,,0,
1701,0,C910012      9.7500      682.50,05/29/12 155 -64C9 08,01   70.0 EA,419,,19,,419,0,6904
1702,unknown,,RESSURE,,AL E-RING EXTERNAL P,ING EX,L E-R,TERNAL,AL E-RING EXTERNAL P,,META
1703,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1704,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1705,unknown,,,***,REV -      SQR,S,EV -,QR,REV -      SQR,,DWG R
1723,unknown,TOTAL     682.50,,,,,,,,,
1724,1,,,,,,,,,1,
1725,1,1,,,,,,,,1,
1726,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
1727,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
1728,unknown,14210-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
1729,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
1730,-,,,,,,,,,-,
1731,unknown,,PARKER HANNIFIN CORPORATION,JOINING TE,OGIES  LLC,LLC,GIES,,OGIES  LLC,,CHNOLO
1732,unknown,,O-SEAL DIVISION,NEWGATE ON,,,,,,,E
1733,unknown,,7664 PANASONIC WAY,17 CONNECT,SOUTH DRIVE,DRIVE,OUTH,,SOUTH DRIVE,,ICUT S
1734,unknown,,"SAN DIEGO, CA 92154",EAST GRANB,0602674,74,06026,,0602674,,"Y, CT"
1736,unknown,,,,860-653-01,860-6,,53-01,860-653-01,,
1737,0,,,,,,,,,0,
1738,unknown,X     X,ST WAY,047782345  N,PROX             BE,,PROX,B,PROX             BE,,ET 60
1739,-,,          ,05/23/12,JD   JOHN DEUGEN  ,JOHN D,JD,EUGEN,JD   JOHN DEUGEN  ,-,O
1740,0,,,,,,,,,0,
1742,0,C910012      9.7500      633.75,05/28/12 155 -64C9 08,01   65.0 EA,418,,18,,418,0,6904
1743,unknown,,RESSURE,,AL E-RING EXTERNAL P,ING EX,L E-R,TERNAL,AL E-RING EXTERNAL P,,META
1744,If,,"en facility, the",this PO is,ing to our North Hav,our N,ng to,orth Ha,ing to our North Hav,If,shippi
1745,Su,,ies,pplier Speci,ion PU741010033 appl,741010,on PU,033 app,ion PU741010033 appl,Su,ficati
1746,unknown,,,***,REV -      SQR,S,EV -,QR,REV -      SQR,,DWG R
1764,unknown,TOTAL     633.75,,,,,,,,,
1765,1,,,,,,,,,1,
